,text,int between 0 and 1e6,float between -1 and 1,no nulls allowed,iso 8601 compliant date
0,row0,934944.0,-0.7513954260420703,False,2021-01-01
1,row1,842425.0,0.11302741843398123,True,2021-01-02
2,row2,220216.0,0.8273455409668526,True,2021-01-03
3,row3,138980.0,0.6959675779711563,True,2021-01-04
4,row4,907058.0,0.8815493983103648,False,2021-01-05
5,row5,396576.0,-0.8138954838757531,True,2021-01-06
6,row6,870306.0,-0.6057577245611188,True,2021-01-07
7,row7,981140.0,0.6709495128597449,True,2021-01-08
8,row8,266363.0,-0.28512318793079094,False,2021-01-09
9,row9,143593.0,-0.6214236938436495,True,2021-01-10
10,0,-1.0,6,,10-10-2021
